,coef,std err,t,P>|t|,[0.025,0.975]
avg_sale_price_2,-0.8754,0.05,-17.607,0.0,-0.973,-0.778
avg_sale_price_4,-0.225,0.047,-4.793,0.0,-0.317,-0.133
avg_sale_price_6,-0.3931,0.051,-7.742,0.0,-0.493,-0.293
sales_sum,0.8538,0.02,43.67,0.0,0.815,0.892
spring,-0.1702,0.031,-5.546,0.0,-0.23,-0.11
DoW_1,-0.073,0.038,-1.925,0.055,-0.147,0.001
